Dados:

x,y,potencial:

Experimento sem nada:

14, 15.5, 2.74
12, 15.4, 2.74 
10, 14.9, 2.74
 8, 14.1, 2.74
 6, 13.8, 2.74	
 4, 13.5, 2.74
 2, 13.3, 2.74

14, 12.5, 2.15
12, 12.1, 2.15 
10, 11.6, 2.15
 8, 11.4, 2.15
 6, 11.1, 2.15
 4, 10.8, 2.15
 2, 10.5, 2.15

14, 9.5, 1.72
12, 9.5, 1.72
10, 9.0, 1.72
 8, 8.7, 1.72
 6, 8.5, 1.72
 4, 8.5, 1.72
 2, 8.3, 1.72

14, 6.5, 1.16
12, 6.3, 1.16
10, 6.2, 1.16
 8, 6.1, 1.16
 6, 6.0, 1.16
 4, 5.8, 1.16
 2, 5.2, 1.16

14, 3.5, 0.61
12, 3.2, 0.61
10, 3.3, 0.61
 8, 3.3, 0.61
 6, 3.2, 0.61
 4, 3.1, 0.61
 2, 3.0, 0.61


Experimento da ponta:

14, 15.5, 2.58
12, 15.4, 2.58 
10, 15.4, 2.58
 8, 14.8, 2.58
 6, 14.5, 2.58
 4, 14.7, 2.58
 2, 14.5, 2.58

14, 12.5, 1.70
12, 12.3, 1.70 
10, 11.9, 1.70
# 8, 11.5, 1.70
# 6, 11.2, 1.70
# 4, 10.9, 1.70
2, 10.7, 1.70

14, 9.5, 1.33
12, 9.1, 1.33
10, 8.6, 1.33
 8, 8.1, 1.33
 6, 7.7, 1.33
 4, 7.5, 1.33
 2, 7.2, 1.33

14, 8.0, 1.00
12, 7.5, 1.00
10, 6.8, 1.00
 8, 6.4, 1.00
 6, 6.1, 1.00
 4, 6.0, 1.00
 2, 5.6, 1.00

14, 6.5, 0.63
12, 5.9, 0.63
10, 5.1, 0.63
 8, 4.7, 0.63
 6, 4.4, 0.63
 4, 4.1, 0.63
 2, 3.8, 0.63

Experimento do circulo
raio = 2.5 cm

14, 15.5, 2.44
# 12, 15.4, 2.44
# 10, 14.9, 2.44
# 8,  14.5, 2.44
# 6,  13.6, 2.44
# 4, 12.9, 2.44
2, 12.6, 2.44

14, 12.5, 1.6 
12, 11.9, 1.6 
10, 10.7, 1.6 
# 8, 9.9, 1.6
 6, 9.6, 1.6
# 4, 9.3, 1.6
 2, 9.1, 1.6 

F14, 9.5, 1.42
F12, 9.5, 1.42
F10, 9.5, 1.38
F 8, 9.3, 1.38
F 6, 9.0, 1.38
F 4, 8.7, 1.38
F 2, 8.6, 1.38

14, 6.5, 1.3
12, 7.0, 1.3 
10, 7.7, 1.3
 8, 8.1, 1.3 
 6, 7.8, 1.3
 4, 7.5, 1.3 
 2, 7.3, 1.3

14, 3.5, 0.62
12, 3.5, 0.62 
10, 4.0, 0.62
 8, 4.4, 0.62 
 6, 4.4, 0.62
 4, 4.3, 0.62 
 2, 4.1, 0.62
